,Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
0,-0.4767,Sun Jun 10 03:29:03 +0000 2018,0.853,0.147,0.0,@nytimes,"RT @nytlizrobbins: Pablo Villavicencio, arrested by ICE when delivering food to a Brooklyn Army base, gets a reprieve. Federal judge tempor…",1
1,0.0,Sun Jun 10 03:13:04 +0000 2018,1.0,0.0,0.0,@nytimes,Anthony Bourdain understood that eating was simply a way of taking the world inside you https://t.co/zIAk0RdfKm,2
2,0.5719,Sun Jun 10 02:59:05 +0000 2018,0.861,0.0,0.139,@nytimes,"RT @peterbakernyt: With a petulant tweetstorm from Air Force One, Trump all but blew up the G-7 nations that the United States has led for…",3
3,0.0,Sun Jun 10 02:50:25 +0000 2018,1.0,0.0,0.0,@nytimes,"On Horse Racing: At 52, Mike Smith Has the Ride of His Life https://t.co/QIESi0NjMT",4
4,-0.2263,Sun Jun 10 02:25:06 +0000 2018,0.921,0.079,0.0,@nytimes,RT @amyvirshup: Kris Kobach email in group of documents released in connection with census lawsuit says he talked to Wilbur Ross about citi…,5
5,0.0,Sun Jun 10 02:15:35 +0000 2018,1.0,0.0,0.0,@nytimes,"Before leaving the annual meeting of major world powers, President Trump said that on a scale of 0 to 10, ""the rela… https://t.co/5dSqlZmSHy",6
6,-0.0772,Sun Jun 10 02:05:49 +0000 2018,0.874,0.126,0.0,@nytimes,Documents Show Political Lobbying in Census Question About Citizenship https://t.co/41VoR04bNy,7
7,-0.7906,Sun Jun 10 02:03:04 +0000 2018,0.682,0.318,0.0,@nytimes,"Venomous stonefish are ugly, and they're poisonous. And now scientists have discovered that they carry switchblades. https://t.co/YsJ7HkazJa",8
8,0.6705,Sun Jun 10 01:56:53 +0000 2018,0.744,0.0,0.256,@nytimes,"Trudeau’s office responded to Trump's tweets with a statement: ""We are focused on everything we accomplished here a… https://t.co/wQERlgpNnJ",9
9,0.0,Sun Jun 10 01:47:24 +0000 2018,1.0,0.0,0.0,@nytimes,"The ice over Manhattan would have buried even the tallest skyscraper. As it melted, giant boulders embedded deep wi… https://t.co/ulWgedMV5w",10
10,0.34,Sun Jun 10 01:35:50 +0000 2018,0.893,0.0,0.107,@nytimes,"Trudeau sought to play down personal clashes with Trump as he wrapped up the G-7 summit, saying he leaves “inspired… https://t.co/gY0bzq4klo",11
11,0.0,Sun Jun 10 01:30:41 +0000 2018,1.0,0.0,0.0,@nytimes,Nick Cave Wants You to Work It Out on the Dance Floor https://t.co/GMPPrGqLh7,12
12,0.3612,Sun Jun 10 01:18:36 +0000 2018,0.906,0.0,0.094,@nytimes,"Janelle Monáe brings a pair of big fuzzy socks on the road. ""I like to moonwalk when I’m on the tour bus. It’s my f… https://t.co/jbf5ZtCzC8",13
13,-0.5574,Sun Jun 10 01:03:05 +0000 2018,0.854,0.146,0.0,@nytimes,"RT @kimseverson: Here's a sketch of Bourdain’s last couple of days in the medieval village where he died, from @MilanSchreuer of the @nytim…",14
14,-0.1531,Sun Jun 10 00:04:46 +0000 2018,0.849,0.151,0.0,@nytimes,Judge Stops Deportation of a New York Pizza Delivery Man https://t.co/HvmhAiLkvU,15
15,0.8074,Sat Jun 09 23:43:28 +0000 2018,0.722,0.0,0.278,@nytimes,RT @nytimestravel: This year would have been Leonard Bernstein's 100th birthday. Celebrate his rich musical legacy at these events around t…,16
16,-0.4019,Sat Jun 09 23:43:02 +0000 2018,0.87,0.13,0.0,@nytimes,"Breaking News: President Trump upended two days of diplomacy, refusing to sign a Group of 7 statement and calling P… https://t.co/Y0hQKylGpt",17
17,-0.6705,Sat Jun 09 23:25:30 +0000 2018,0.353,0.647,0.0,@nytimes,I Have Post-Brokeness Stress Disorder https://t.co/DzbNcVsanm,18
18,-0.128,Sat Jun 09 23:11:56 +0000 2018,0.747,0.137,0.116,@nytimes,The powerful conservative donor couple you’ve never heard of: Liz and Dick Uihlein are spending millions to shape a… https://t.co/X4PKGfkCQc,19
19,0.8225,Sat Jun 09 22:53:56 +0000 2018,0.691,0.0,0.309,@nytimes,"Breaking News: Justify won the Belmont Stakes to become the 13th Triple Crown champion, the second in 4 years https://t.co/hm0DyHs93a",20
20,-0.4767,Sun Jun 10 03:29:03 +0000 2018,0.853,0.147,0.0,@nytimes,"RT @nytlizrobbins: Pablo Villavicencio, arrested by ICE when delivering food to a Brooklyn Army base, gets a reprieve. Federal judge tempor…",21
21,0.0,Sun Jun 10 03:13:04 +0000 2018,1.0,0.0,0.0,@nytimes,Anthony Bourdain understood that eating was simply a way of taking the world inside you https://t.co/zIAk0RdfKm,22
22,0.5719,Sun Jun 10 02:59:05 +0000 2018,0.861,0.0,0.139,@nytimes,"RT @peterbakernyt: With a petulant tweetstorm from Air Force One, Trump all but blew up the G-7 nations that the United States has led for…",23
23,0.0,Sun Jun 10 02:50:25 +0000 2018,1.0,0.0,0.0,@nytimes,"On Horse Racing: At 52, Mike Smith Has the Ride of His Life https://t.co/QIESi0NjMT",24
24,-0.2263,Sun Jun 10 02:25:06 +0000 2018,0.921,0.079,0.0,@nytimes,RT @amyvirshup: Kris Kobach email in group of documents released in connection with census lawsuit says he talked to Wilbur Ross about citi…,25
25,0.0,Sun Jun 10 02:15:35 +0000 2018,1.0,0.0,0.0,@nytimes,"Before leaving the annual meeting of major world powers, President Trump said that on a scale of 0 to 10, ""the rela… https://t.co/5dSqlZmSHy",26
26,-0.0772,Sun Jun 10 02:05:49 +0000 2018,0.874,0.126,0.0,@nytimes,Documents Show Political Lobbying in Census Question About Citizenship https://t.co/41VoR04bNy,27
27,-0.7906,Sun Jun 10 02:03:04 +0000 2018,0.682,0.318,0.0,@nytimes,"Venomous stonefish are ugly, and they're poisonous. And now scientists have discovered that they carry switchblades. https://t.co/YsJ7HkazJa",28
28,0.6705,Sun Jun 10 01:56:53 +0000 2018,0.744,0.0,0.256,@nytimes,"Trudeau’s office responded to Trump's tweets with a statement: ""We are focused on everything we accomplished here a… https://t.co/wQERlgpNnJ",29
